A,0,0,5,7
A,0,1,1,7
A,0,2,4,7
A,0,3,2,7
A,1,0,4,7
A,1,1,5,7
A,1,2,1,7
A,1,3,5,7
A,2,0,3,7
A,2,1,2,7
A,2,2,6,7
A,2,3,5,7
A,3,0,8,7
A,3,1,7,7
A,3,2,2,7
A,3,3,4,7
A,4,0,6,7
A,4,1,2,7
A,4,2,0,7
A,4,3,5,7
A,5,0,3,7
A,5,1,9,7
A,5,2,2,7
A,5,3,5,7
A,6,0,5,7
A,6,1,0,7
A,6,2,9,7
A,6,3,2,7
A,7,0,5,7
A,7,1,1,7
A,7,2,7,7
A,7,3,6,7
A,8,0,4,7
A,8,1,9,7
A,8,2,2,7
A,8,3,7,7
A,9,0,3,7
A,9,1,9,7
A,9,2,6,7
A,9,3,0,7
B,0,0,1,10
B,0,1,9,10
B,0,2,5,10
B,0,3,1,10
B,0,4,5,10
B,0,5,9,10
B,0,6,0,10
B,1,0,9,10
B,1,1,7,10
B,1,2,6,10
B,1,3,4,10
B,1,4,4,10
B,1,5,5,10
B,1,6,5,10
B,2,0,2,10
B,2,1,3,10
B,2,2,6,10
B,2,3,3,10
B,2,4,4,10
B,2,5,1,10
B,2,6,0,10
B,3,0,9,10
B,3,1,0,10
B,3,2,2,10
B,3,3,5,10
B,3,4,0,10
B,3,5,4,10
B,3,6,9,10
