0,0	40
0,1	64
0,2	59
0,3	31
0,4	45
0,5	62
0,6	23
1,0	96
1,1	74
1,2	66
1,3	52
1,4	44
1,5	82
1,6	70
2,0	78
2,1	59
2,2	73
2,3	54
2,4	47
2,5	63
2,6	55
3,0	111
3,1	127
3,2	102
3,3	62
3,4	76
3,5	125
3,6	71
4,0	69
4,1	68
4,2	52
4,3	39
4,4	38
4,5	84
4,6	55
5,0	133
5,1	96
5,2	91
5,3	70
5,4	59
5,5	94
5,6	90
6,0	41
6,1	72
6,2	83
6,3	42
6,4	61
6,5	62
6,6	18
7,0	82
7,1	73
7,2	85
7,3	60
7,4	57
7,5	81
7,6	59
8,0	152
8,1	105
8,2	100
8,3	81
8,4	64
8,5	111
8,6	108
9,0	96
9,1	108
9,2	105
9,3	57
9,4	75
9,5	78
9,6	45
